"","trip_id","bikeid","checkout_time","station_id","name","subscriber_type","month","year","latitude","longitude"
"57",9900175703,956,12:12:00,2540,"17th & Guadalupe","Walk Up",6,2015,30.27974,-97.74254
"58",9900285208,75,15:12:00,2561,"State Capitol Visitors Garage @ San Jacinto & 12th","24-Hour Kiosk (Austin B-cycle)",10,2014,30.27336,-97.73805
"59",9900108117,663,09:12:00,NA,"Zilker Park at Barton Springs & William Barton Drive","Walk Up",4,2015,NA,NA
"60",13594088,356,14:52:35,2707,"Rainey St @ Cummings","Walk Up",1,2017,30.25579,-97.73982
"61",9900279138,254,19:12:00,2550,"Republic Square @ Guadalupe & 4th St.","Annual Membership (Austin B-cycle)",10,2014,30.26774,-97.74692
"62",15380235,822,01:00:21,2497,"Capitol Station / Congress & 11th","Walk Up",NA,NA,30.2726,-97.74127
"63",9900273434,214,11:12:00,2498,"Convention Center / 4th St. @ MetroRail","24-Hour Kiosk (Austin B-cycle)",10,2014,30.26483,-97.739
"64",9900251651,8,18:12:35,2544,"East 6th & Pedernales St.","Local365",9,2015,30.25895,-97.71475
"65",12187842,514,19:01:48,2501,"5th & Bowie","Walk Up",10,2016,30.2696,-97.75332
"66",9900017099,514,13:12:12,3377,"MoPac Pedestrian Bridge @ Veterans Drive","Walk Up",1,2016,30.27466,-97.77028
"67",10971320,558,15:30:24,2563,"Davis at Rainey Street","Walk Up",7,2016,30.26019,-97.73845
"68",8611553,185,17:08:19,2574,"Zilker Park","Local365",1,2016,30.2659,-97.76822
"69",9900006103,517,12:12:00,2565,"Trinity & 6th Street","Walk Up",1,2015,30.26735,-97.73933
"70",15196075,548,12:21:23,2548,"UT West Mall @ Guadalupe","Walk Up",NA,NA,30.28576,-97.74181
"71",9900220664,35,00:12:00,2544,"East 6th & Pedernales St.","Annual Membership (Austin B-cycle)",8,2014,30.25895,-97.71475
"72",9900056298,850,21:12:00,2501,"5th & Bowie","Annual Membership (Austin B-cycle)",3,2014,30.2696,-97.75332
"73",9204007,468,17:34:04,2574,"Zilker Park","Walk Up",3,2016,30.2659,-97.76822
"74",10550502,683,23:18:14,2499,"City Hall / Lavaca & 2nd","Walk Up",6,2016,30.26476,-97.74678
"75",8822627,881,02:08:18,2571,"Red River & 8th Street","Walk Up",2,2016,30.26854,-97.73646
"76",9900185402,3,16:12:00,2570,"South Congress & Academy","24-Hour Kiosk (Austin B-cycle)",7,2014,30.25226,-97.74854
"77",9900351086,393,10:12:22,2495,"4th & Congress","Walk Up",12,2015,30.26634,-97.74378
"78",8590544,158,15:11:09,2711,"Barton Springs @ Kinney Ave","Walk Up",1,2016,30.262,-97.76118
"79",10394079,664,18:15:04,2503,"South Congress & James","Walk Up",6,2016,30.25103,-97.74926
"80",9900190774,236,15:12:00,2570,"South Congress & Academy","24-Hour Kiosk (Austin B-cycle)",7,2014,30.25226,-97.74854
"81",14608111,235,20:39:58,2707,"Rainey St @ Cummings","Local365",4,2017,30.25579,-97.73982
"82",13853033,827,17:47:51,2498,"Convention Center / 4th St. @ MetroRail","Walk Up",2,2017,30.26483,-97.739
"83",9900232291,399,19:12:00,2569,"East 11th St. & San Marcos","Walk Up",8,2015,30.26968,-97.73074
"84",9900056231,969,18:12:00,2495,"4th & Congress","Annual Membership (Austin B-cycle)",3,2014,30.26634,-97.74378
"85",9900064715,287,18:12:00,2711,"Barton Springs @ Kinney Ave","Walk Up",3,2015,30.262,-97.76118
"86",8577778,425,16:12:47,3377,"MoPac Pedestrian Bridge @ Veterans Drive","Walk Up",1,2016,30.27466,-97.77028
"87",9900198039,400,12:12:00,2564,"5th & San Marcos","Walk Up",7,2015,30.26416,-97.73289
"88",15145380,299,13:00:07,3660,"Medina & East 6th","Explorer",NA,NA,30.26455,-97.73165
"89",9900001250,327,12:12:00,2499,"City Hall / Lavaca & 2nd","24-Hour Kiosk (Austin B-cycle)",1,2014,30.26476,-97.74678
"90",9900010018,84,13:12:00,2495,"4th & Congress","Walk Up",1,2015,30.26634,-97.74378
"91",9900028641,188,16:12:00,2496,"8th & Congress","Local365",2,2015,30.2698,-97.74186
"92",9900322858,661,09:12:11,2822,"East 6th at Robert Martinez","Local365",11,2015,30.26032,-97.71899
"93",9900330669,85,15:12:34,2562,"San Jacinto & 8th Street","Local30",11,2015,30.26912,-97.73986
"94",9900320153,996,12:12:00,2539,"Convention Center / 3rd & Trinity","24-Hour Kiosk (Austin B-cycle)",11,2014,30.26426,-97.74023
"95",14686356,425,07:19:08,2542,"Plaza Saltillo","Local365",5,2017,30.26217,-97.72743
"96",9900245002,513,16:12:00,2498,"Convention Center / 4th St. @ MetroRail","24-Hour Kiosk (Austin B-cycle)",9,2014,30.26483,-97.739
"97",9900197654,263,16:12:00,2575,"Riverside @ S. Lamar","Walk Up",7,2015,30.26446,-97.75665
"98",14835466,774,13:03:41,2575,"Riverside @ S. Lamar","Walk Up",5,2017,30.26446,-97.75665
"99",9900318911,340,17:12:00,2567,"Palmer Auditorium","24-Hour Kiosk (Austin B-cycle)",11,2014,30.25971,-97.75346
"100",9900076402,956,11:12:00,2544,"East 6th & Pedernales St.","Walk Up",3,2015,30.25895,-97.71475
"101",9900164060,980,16:12:00,2501,"5th & Bowie","24-Hour Kiosk (Austin B-cycle)",6,2014,30.2696,-97.75332
"102",9900161815,197,17:12:00,NA,"Zilker Park at Barton Springs & William Barton Drive","24-Hour Kiosk (Austin B-cycle)",6,2014,NA,NA
"103",9900197795,208,19:12:00,2540,"17th & Guadalupe","Local30",7,2015,30.27974,-97.74254
"104",9900318578,919,13:12:00,2502,"Barton Springs & Riverside","24-Hour Kiosk (Austin B-cycle)",11,2014,30.2587,-97.74872
"105",9900273348,80,10:12:00,2562,"San Jacinto & 8th Street","24-Hour Kiosk (Austin B-cycle)",10,2014,30.26912,-97.73986
"106",9900071277,232,10:12:00,2575,"Riverside @ S. Lamar","Local365",3,2015,30.26446,-97.75665
"107",9900313484,400,13:12:00,2539,"Convention Center / 3rd & Trinity","Annual Membership (Austin B-cycle)",11,2014,30.26426,-97.74023
"108",9900218424,522,22:12:00,NA,"Zilker Park at Barton Springs & William Barton Drive","24-Hour Kiosk (Austin B-cycle)",8,2014,NA,NA
"109",9900181616,558,11:12:00,2497,"Capitol Station / Congress & 11th","Walk Up",6,2015,30.2726,-97.74127
"110",11190891,558,23:18:01,2499,"City Hall / Lavaca & 2nd","Walk Up",7,2016,30.26476,-97.74678
"111",9900088121,447,07:12:00,2711,"Barton Springs @ Kinney Ave","Walk Up",3,2015,30.262,-97.76118
"112",9900091100,855,18:12:00,2565,"Trinity & 6th Street","Walk Up",3,2015,30.26735,-97.73933
"113",9900314228,14,17:12:00,2562,"San Jacinto & 8th Street","Annual Membership (Austin B-cycle)",11,2014,30.26912,-97.73986
"114",9900268248,387,13:12:00,2499,"City Hall / Lavaca & 2nd","24-Hour Kiosk (Austin B-cycle)",10,2014,30.26476,-97.74678
"115",14549046,425,11:01:00,2494,"2nd & Congress","Walk Up",4,2017,30.26408,-97.74355
"116",13602313,558,09:05:26,2564,"5th & San Marcos","Local30",2,2017,30.26416,-97.73289
"117",14048130,160,16:01:58,2495,"4th & Congress","Walk Up",3,2017,30.26634,-97.74378
"118",9900226962,878,20:12:00,2501,"5th & Bowie","Local365",8,2015,30.2696,-97.75332
"119",9900029503,528,08:12:00,2499,"City Hall / Lavaca & 2nd","Walk Up",2,2015,30.26476,-97.74678
"120",8820829,35,17:33:09,2503,"South Congress & James","Walk Up",2,2016,30.25103,-97.74926
"121",14784356,870,12:30:29,2548,"UT West Mall @ Guadalupe","Walk Up",5,2017,30.28576,-97.74181
"122",10857059,62,18:23:33,3377,"MoPac Pedestrian Bridge @ Veterans Drive","Walk Up",7,2016,30.27466,-97.77028
"123",15271346,347,13:11:57,2566,"Pfluger Bridge @ W 2nd Street","Local365",NA,NA,30.26717,-97.75484
"124",9900178869,589,17:12:00,2707,"Rainey St @ Cummings","Walk Up",6,2015,30.25579,-97.73982
"125",13690723,850,17:31:10,2502,"Barton Springs & Riverside","Walk Up",2,2017,30.2587,-97.74872
"126",9900233789,540,19:12:00,NA,"ACC - West & 12th","Weekender",8,2015,NA,NA
"127",10134084,958,09:55:10,2494,"2nd & Congress","Walk Up",5,2016,30.26408,-97.74355
"128",8655154,936,11:50:52,2570,"South Congress & Academy","Walk Up",2,2016,30.25226,-97.74854
"129",9900259539,354,10:12:04,2570,"South Congress & Academy","Walk Up",9,2015,30.25226,-97.74854
"130",9900031245,554,12:12:00,2572,"Barton Springs Pool","Walk Up",2,2015,30.26452,-97.7712
"131",9900188920,528,16:12:00,2501,"5th & Bowie","24-Hour Kiosk (Austin B-cycle)",7,2014,30.2696,-97.75332
"132",9900352423,685,15:12:58,2575,"Riverside @ S. Lamar","Walk Up",12,2015,30.26446,-97.75665
"133",14103994,5089,11:50:30,3464,"Pease Park","Local30",3,2017,30.28118,-97.75219
"134",13491534,161,10:44:26,2570,"South Congress & Academy","Weekender",1,2017,30.25226,-97.74854
"135",9900278080,406,13:12:00,2498,"Convention Center / 4th St. @ MetroRail","24-Hour Kiosk (Austin B-cycle)",10,2014,30.26483,-97.739
"136",9900275900,398,21:12:00,NA,"Zilker Park at Barton Springs & William Barton Drive","24-Hour Kiosk (Austin B-cycle)",10,2014,NA,NA
"137",11346956,669,17:39:30,2501,"5th & Bowie","Local365",8,2016,30.2696,-97.75332
"138",9900244075,195,11:12:00,2497,"Capitol Station / Congress & 11th","24-Hour Kiosk (Austin B-cycle)",9,2014,30.2726,-97.74127
"139",9900153420,865,17:12:00,2538,"Bullock Museum @ Congress & MLK","Walk Up",5,2015,30.28039,-97.73809
"140",9900214501,334,00:12:00,2563,"Davis at Rainey Street","24-Hour Kiosk (Austin B-cycle)",8,2014,30.26019,-97.73845
"141",9900085418,774,02:12:00,2495,"4th & Congress","7-Day",3,2015,30.26634,-97.74378
"142",10420519,896,12:20:21,2563,"Davis at Rainey Street","Walk Up",6,2016,30.26019,-97.73845
"143",9900091144,399,18:12:00,2537,"West & 6th St.","Walk Up",3,2015,30.27041,-97.75046
"144",9900121026,839,12:12:00,2542,"Plaza Saltillo","Walk Up",4,2015,30.26217,-97.72743
"145",9900098919,58,17:12:00,2547,"Guadalupe & 21st","24-Hour Kiosk (Austin B-cycle)",4,2014,30.28395,-97.74198
"146",9900067546,975,17:12:00,2550,"Republic Square @ Guadalupe & 4th St.","Local365",3,2015,30.26774,-97.74692
"147",9900019098,422,11:12:13,2562,"San Jacinto & 8th Street","Walk Up",1,2016,30.26912,-97.73986
"148",12314622,453,14:58:45,2711,"Barton Springs @ Kinney Ave","Walk Up",10,2016,30.262,-97.76118
"149",9900328193,209,17:12:31,2503,"South Congress & James","Walk Up",11,2015,30.25103,-97.74926
"150",9900103837,983,15:12:00,2497,"Capitol Station / Congress & 11th","24-Hour Kiosk (Austin B-cycle)",4,2014,30.2726,-97.74127
"151",9900244045,175,09:12:00,2536,"Waller & 6th St.","Annual Membership (Austin B-cycle)",9,2014,30.26461,-97.73049
"152",11694803,36,07:37:55,2552,"3rd & West","Local30",9,2016,30.2678,-97.75189
"153",9900333948,8,09:12:10,2707,"Rainey St @ Cummings","Local365",11,2015,30.25579,-97.73982
"154",9900257466,22,15:12:36,2565,"Trinity & 6th Street","Walk Up",9,2015,30.26735,-97.73933
"155",15220223,969,18:32:09,2503,"South Congress & James","Walk Up",NA,NA,30.25103,-97.74926
"156",12809297,422,10:19:19,3377,"MoPac Pedestrian Bridge @ Veterans Drive","Walk Up",11,2016,30.27466,-97.77028
"157",13319507,388,11:33:40,2564,"5th & San Marcos","Local30",1,2017,30.26416,-97.73289
"158",8827992,511,14:23:57,2575,"Riverside @ S. Lamar","Walk Up",2,2016,30.26446,-97.75665
"159",9900133408,661,12:12:00,2566,"Pfluger Bridge @ W 2nd Street","Annual Membership (Austin B-cycle)",5,2014,30.26717,-97.75484
"160",14087025,132,00:20:06,2494,"2nd & Congress","Walk Up",3,2017,30.26408,-97.74355
"161",9878943,373,14:29:24,2542,"Plaza Saltillo","Weekender",5,2016,30.26217,-97.72743
"162",10253555,84,14:40:54,3291,"11th & San Jacinto","Walk Up",5,2016,30.27193,-97.73854
"163",9900000590,980,16:12:00,2497,"Capitol Station / Congress & 11th","24-Hour Kiosk (Austin B-cycle)",1,2014,30.2726,-97.74127
"164",9900010946,545,17:12:00,2501,"5th & Bowie","Local30",1,2015,30.2696,-97.75332
"165",14180218,62,11:54:29,2499,"City Hall / Lavaca & 2nd","Walk Up",3,2017,30.26476,-97.74678
"166",9900123776,660,07:12:00,2501,"5th & Bowie","Local365",4,2015,30.2696,-97.75332
"167",9900144559,459,15:12:00,2540,"17th & Guadalupe","Walk Up",5,2015,30.27974,-97.74254
"168",9900098033,303,17:12:00,NA,"Zilker Park at Barton Springs & William Barton Drive","24-Hour Kiosk (Austin B-cycle)",4,2014,NA,NA
"169",8623547,347,16:59:19,1007,"Lavaca & 6th","Walk Up",2,2016,30.26889,-97.74525
"170",12185647,25,16:53:22,2499,"City Hall / Lavaca & 2nd","Local365",10,2016,30.26476,-97.74678
"171",10836629,805,17:10:13,2499,"City Hall / Lavaca & 2nd","Local365",7,2016,30.26476,-97.74678
"172",9900318854,152,14:12:00,2537,"West & 6th St.","24-Hour Kiosk (Austin B-cycle)",11,2014,30.27041,-97.75046
"173",9900288712,60,16:12:33,2711,"Barton Springs @ Kinney Ave","Walk Up",10,2015,30.262,-97.76118
"174",9900082182,62,16:12:00,2499,"City Hall / Lavaca & 2nd","Walk Up",3,2015,30.26476,-97.74678
"175",9900039104,298,14:12:00,2572,"Barton Springs Pool","24-Hour Kiosk (Austin B-cycle)",3,2014,30.26452,-97.7712
"176",9900283076,175,11:12:00,2495,"4th & Congress","24-Hour Kiosk (Austin B-cycle)",10,2014,30.26634,-97.74378
"177",9900290406,553,15:12:19,2712,"Toomey Rd @ South Lamar","Local365",10,2015,30.26304,-97.75824
"178",9900108606,588,20:12:00,2570,"South Congress & Academy","Walk Up",4,2015,30.25226,-97.74854
"179",9900072508,28,16:12:00,2494,"2nd & Congress","Walk Up",3,2015,30.26408,-97.74355
"180",9900296123,232,17:12:56,2537,"West & 6th St.","Local365",10,2015,30.27041,-97.75046
"181",8521657,911,12:21:44,2569,"East 11th St. & San Marcos","Walk Up",1,2016,30.26968,-97.73074
"182",10144252,878,18:40:41,2495,"4th & Congress","Local30",5,2016,30.26634,-97.74378
"183",9900345949,749,17:12:18,2497,"Capitol Station / Congress & 11th","Walk Up",12,2015,30.2726,-97.74127
"184",9900198009,356,11:12:00,2712,"Toomey Rd @ South Lamar","Local365",7,2015,30.26304,-97.75824
"185",9900164905,412,17:12:00,2707,"Rainey St @ Cummings","24-Hour Kiosk (Austin B-cycle)",6,2014,30.25579,-97.73982
"186",9900086235,897,20:12:00,2540,"17th & Guadalupe","Walk Up",3,2015,30.27974,-97.74254
"187",9900282245,142,14:12:00,2570,"South Congress & Academy","24-Hour Kiosk (Austin B-cycle)",10,2014,30.25226,-97.74854
"188",9900204239,928,13:12:00,2711,"Barton Springs @ Kinney Ave","Walk Up",7,2015,30.262,-97.76118
"189",9900226013,815,17:12:00,2823,"Capital Metro HQ - East 5th at Broadway","Walk Up",8,2015,30.2563,-97.71007
"190",9900078795,191,13:12:00,2712,"Toomey Rd @ South Lamar","Local30",3,2015,30.26304,-97.75824
"191",9900259774,849,13:12:49,1007,"Lavaca & 6th","Local365",9,2015,30.26889,-97.74525
"192",9900274621,966,11:12:00,2566,"Pfluger Bridge @ W 2nd Street","24-Hour Kiosk (Austin B-cycle)",10,2014,30.26717,-97.75484
"193",10863410,511,09:55:24,2563,"Davis at Rainey Street","Walk Up",7,2016,30.26019,-97.73845
"194",11660017,4,09:12:28,2569,"East 11th St. & San Marcos","Local365",8,2016,30.26968,-97.73074
"195",9139938,745,19:56:37,2822,"East 6th at Robert Martinez","Walk Up",3,2016,30.26032,-97.71899
"196",13946783,852,09:45:40,2552,"3rd & West","Local365",3,2017,30.2678,-97.75189
"197",9900209520,157,17:12:00,2501,"5th & Bowie","Walk Up",7,2015,30.2696,-97.75332
"198",9900131665,551,11:12:00,2501,"5th & Bowie","24-Hour Kiosk (Austin B-cycle)",5,2014,30.2696,-97.75332
"199",10830066,839,10:46:27,2707,"Rainey St @ Cummings","Local365",7,2016,30.25579,-97.73982
"200",12404140,75,12:20:07,2566,"Pfluger Bridge @ W 2nd Street","Walk Up",10,2016,30.26717,-97.75484
"201",14094948,563,15:39:54,2547,"Guadalupe & 21st","Walk Up",3,2017,30.28395,-97.74198
"202",9900132337,407,00:12:00,2563,"Davis at Rainey Street","24-Hour Kiosk (Austin B-cycle)",5,2014,30.26019,-97.73845
"203",9900056799,843,14:12:00,2504,"South Congress & Elizabeth","24-Hour Kiosk (Austin B-cycle)",3,2014,30.24891,-97.75019
"204",9900188980,178,16:12:00,2499,"City Hall / Lavaca & 2nd","24-Hour Kiosk (Austin B-cycle)",7,2014,30.26476,-97.74678
"205",9900035556,75,09:12:00,2502,"Barton Springs & Riverside","Local365",2,2015,30.2587,-97.74872
"206",11940910,893,16:34:39,2568,"East 11th St. at Victory Grill","Walk Up",9,2016,30.26896,-97.72843
"207",9003742,391,17:53:46,3292,"East 4th & Chicon","Walk Up",3,2016,30.25987,-97.72373
"208",9900027285,298,11:12:00,2496,"8th & Congress","Annual Membership (Austin B-cycle)",2,2014,30.2698,-97.74186
"209",10269931,282,14:24:52,2564,"5th & San Marcos","Local365",6,2016,30.26416,-97.73289
"210",9900083166,195,20:12:00,2563,"Davis at Rainey Street","Walk Up",3,2015,30.26019,-97.73845
"211",13740498,749,18:24:10,3377,"MoPac Pedestrian Bridge @ Veterans Drive","Walk Up",2,2017,30.27466,-97.77028
"212",9900246502,460,20:12:00,2495,"4th & Congress","24-Hour Kiosk (Austin B-cycle)",9,2014,30.26634,-97.74378
"213",9900070287,875,18:12:00,2539,"Convention Center / 3rd & Trinity","7-Day",3,2015,30.26426,-97.74023
"214",9171443,547,16:17:34,2497,"Capitol Station / Congress & 11th","Walk Up",3,2016,30.2726,-97.74127
"215",10775702,260,11:05:20,2549,"Long Center @ South 1st & Riverside","Walk Up",7,2016,30.25941,-97.74971
"216",9900281804,35,21:12:00,2538,"Bullock Museum @ Congress & MLK","Semester Membership (Austin B-cycle)",10,2014,30.28039,-97.73809
"217",12814036,514,16:01:58,2497,"Capitol Station / Congress & 11th","Walk Up",11,2016,30.2726,-97.74127
"218",9900225080,373,20:12:00,2499,"City Hall / Lavaca & 2nd","Walk Up",8,2015,30.26476,-97.74678
"219",9900269060,993,18:12:00,NA,"Zilker Park at Barton Springs & William Barton Drive","24-Hour Kiosk (Austin B-cycle)",10,2014,NA,NA
"220",9114506,855,16:04:18,2561,"State Capitol Visitors Garage @ San Jacinto & 12th","Walk Up",3,2016,30.27336,-97.73805
"221",14454700,407,14:36:08,2503,"South Congress & James","Walk Up",4,2017,30.25103,-97.74926
"222",8753126,16,16:42:06,2501,"5th & Bowie","Local365 ($80 plus tax)",2,2016,30.2696,-97.75332
"223",15502897,712,18:28:31,3621,"Nueces & 3rd","Walk Up",NA,NA,30.26697,-97.74929
"224",9900006473,563,16:12:00,2572,"Barton Springs Pool","Walk Up",1,2015,30.26452,-97.7712
"225",10094367,124,15:38:38,2572,"Barton Springs Pool","Walk Up",5,2016,30.26452,-97.7712
"226",14177209,233,00:37:45,2537,"West & 6th St.","Walk Up",3,2017,30.27041,-97.75046
"227",9900308048,774,10:12:34,2570,"South Congress & Academy","Local365",10,2015,30.25226,-97.74854
"228",9900321199,104,11:12:00,2552,"3rd & West","Annual Membership (Austin B-cycle)",11,2014,30.2678,-97.75189
"229",9900198832,191,01:12:00,2494,"2nd & Congress","Walk Up",7,2015,30.26408,-97.74355
"230",9900270322,176,14:12:00,2707,"Rainey St @ Cummings","24-Hour Kiosk (Austin B-cycle)",10,2014,30.25579,-97.73982
"231",14350169,460,17:10:04,2495,"4th & Congress","Local365",4,2017,30.26634,-97.74378
"232",9113148,890,15:06:47,2498,"Convention Center / 4th St. @ MetroRail","Local30",3,2016,30.26483,-97.739
"233",9900091956,348,16:12:00,2550,"Republic Square @ Guadalupe & 4th St.","Walk Up",3,2015,30.26774,-97.74692
"234",12193501,852,11:17:31,3390,"Brazos & 6th","Weekender",10,2016,30.26754,-97.74154
"235",11712021,135,06:33:07,2552,"3rd & West","Local365",9,2016,30.2678,-97.75189
"236",9900146257,655,13:12:00,2499,"City Hall / Lavaca & 2nd","Walk Up",5,2015,30.26476,-97.74678
"237",15010489,385,12:27:40,2499,"City Hall / Lavaca & 2nd","Local365",NA,NA,30.26476,-97.74678
"238",9900050071,551,12:12:00,2538,"Bullock Museum @ Congress & MLK","24-Hour Kiosk (Austin B-cycle)",3,2014,30.28039,-97.73809
"239",9900216386,132,10:12:00,NA,"Convention Center/ 3rd & Trinity","Annual Membership (Austin B-cycle)",8,2014,NA,NA
"240",10698609,871,12:41:12,2538,"Bullock Museum @ Congress & MLK","Walk Up",6,2016,30.28039,-97.73809
"241",13931533,445,19:05:34,2538,"Bullock Museum @ Congress & MLK","Local365",3,2017,30.28039,-97.73809
"242",11499732,84,18:47:49,2566,"Pfluger Bridge @ W 2nd Street","Walk Up",8,2016,30.26717,-97.75484
